latitude,longitude,names,num_bike_slots
53.354929,-6.269425,WESTERN WAY,40
53.349013,-6.260311,PRINCES STREET / O'CONNELL STREET,23
53.336074,-6.252825,FITZWILLIAM SQUARE WEST,30
53.351182,-6.269859,BOLTON STREET,20
53.354663,-6.278681,GRANGEGORMAN LOWER (SOUTH),40
53.347692,-6.278214,SMITHFIELD,30
53.338755,-6.262003,YORK STREET EAST,32
53.340927,-6.262501,CLARENDON ROW,31
53.358115,-6.265601,ECCLES STREET EAST,27
53.350291,-6.273507,KING STREET NORTH,30
53.344153,-6.233451,BENSON STREET,40
53.355173,-6.278424,GRANGEGORMAN LOWER (CENTRAL),40
53.338776,-6.30395,ROTHE ABBEY,35
53.346637,-6.246154,CITY QUAY,30
53.336021,-6.26298,CLONMEL STREET,33
53.335211,-6.2509,FITZWILLIAM SQUARE EAST,40
53.334295,-6.258503,EARLSFORT TERRACE,30
53.344304,-6.250427,PEARSE STREET,30
53.336597,-6.248109,JAMES STREET EAST,30
53.343105,-6.277167,JOHN STREET WEST,31
53.347777,-6.244239,EXCISE WALK,40
53.356717,-6.256359,MOUNTJOY SQUARE EAST,40
53.341805,-6.305085,KILMAINHAM LANE,30
53.342081,-6.275233,FRANCIS STREET,30
53.339629,-6.243778,GRATTAN STREET,23
53.343565,-6.275071,HIGH STREET,29
53.339434,-6.246548,MERRION SQUARE EAST,30
53.332763,-6.257942,HARCOURT TERRACE,20
53.347802,-6.292432,HEUSTON BRIDGE (NORTH),40
53.34218,-6.254485,LEINSTER STREET SOUTH,30
53.355954,-6.278378,GRANGEGORMAN LOWER (NORTH),36
53.330362,-6.265163,PORTOBELLO HARBOUR,30
53.346867,-6.230852,THE POINT,40
53.347508,-6.252192,GEORGES QUAY,20
53.3547,-6.272314,BROADSTONE,30
53.346985,-6.297804,HEUSTON STATION (CAR PARK),40
53.3537415547453,-6.26530144781526,PARNELL SQUARE NORTH,20
53.350929,-6.265125,PARNELL STREET,20
53.359405,-6.276142,AVONDALE ROAD,35
53.339334,-6.264699,YORK STREET WEST,40
53.344007,-6.266802,DAME STREET,16
53.330662,-6.260177,CHARLEMONT PLACE,40
53.343653,-6.231755,HANOVER QUAY EAST,40
53.347972,-6.291804,PARKGATE STREET,38
53.339005,-6.300217,BROOKFIELD ROAD,30
53.345922,-6.254614,TOWNSEND STREET,20
53.341359,-6.292951,ST JAMES HOSPITAL (LUAS),40
53.341833,-6.231291,SOUTH DOCK ROAD,30
53.33796,-6.24153,MOUNT STREET LOWER,40
53.35023,-6.279696,GEORGES LANE,40
53.356769,-6.26814,BLESSINGTON STREET,20
53.339218,-6.240642,SIR PATRICK DUN'S,40
53.359624,-6.260348,NORTH CIRCULAR ROAD,30
53.341288,-6.258117,MOLESWORTH STREET,20
53.340714,-6.308191,EMMET ROAD,40
53.357043,-6.263232,HARDWICKE PLACE,25
53.338614,-6.248606,MERRION SQUARE SOUTH,40
53.350974,-6.25294,TALBOT STREET,40
53.337824,-6.256035,ST. STEPHEN'S GREEN EAST,40
53.342638,-6.238695,GRAND CANAL DOCK,40
53.356299,-6.258586,MOUNTJOY SQUARE WEST,30
53.341515,-6.256853,FREDERICK STREET SOUTH,40
53.338311,-6.236779,BARROW STREET,21
53.340803,-6.267732,GOLDEN LANE,20
53.339764,-6.251988,MERRION SQUARE WEST,20
53.341645,-6.29719,MOUNT BROWN,22
53.343368,-6.27012,CHRISTCHURCH PLACE,20
53.347106,-6.292041,HEUSTON BRIDGE (SOUTH),25
53.344603,-6.263371,FOWNES STREET UPPER,30
53.346874,-6.272976,GREEK STREET,20
53.334123,-6.265436,GRANTHAM STREET,30
53.332383,-6.252717,WILTON TERRACE,20
53.333653,-6.248345,WILTON TERRACE (PARK),40
53.351464,-6.255265,DEVERELL PLACE,30
53.356307,-6.273717,PHIBSBOROUGH ROAD,40
