,name,address,distance,bike_lat,bike_lon
0,La Pausa Caffe,2b Blessington St,300,53.354929,-6.269425
1,Bookafé,101 Dorset Street Upper Perto da Parnell St,240,53.354929,-6.269425
2,Jay's Café Broadstone,"No 42 Dominick Street Upper, Broadstone, Dublin, D07C5P6",183,53.354929,-6.269425
3,Delisuz,58A Blessington St,213,53.354929,-6.269425
4,Deli Suz,Blessington St.,266,53.354929,-6.269425
5,Vice Coffee Inc.,54 Middle Abbey St,181,53.349013,-6.260311
6,Starbucks,8 N Earl St,139,53.349013,-6.260311
7,Starbucks,39 Henry St,108,53.349013,-6.260311
8,Wigwam,54 Middle Abbey St,183,53.349013,-6.260311
9,Esquires Coffee,16 O'Connell Street Lower,214,53.349013,-6.260311
10,Starbucks,22-23 Liffey Street Lower,268,53.349013,-6.260311
11,Insomnia,O'Connell St,73,53.349013,-6.260311
12,Starbucks,32 Lower O'Connell St,80,53.349013,-6.260311
13,Starbucks,56 O'Connell St,165,53.349013,-6.260311
14,The Sweetest Thing,Bachelor's Walk,224,53.349013,-6.260311
15,McCafé,68 O'Connell St,133,53.349013,-6.260311
16,The Bagel Bar,Upper Liffey St,257,53.349013,-6.260311
17,Caffè Nero,9 O'Connell St,115,53.349013,-6.260311
18,Starbucks,George's Quay,347,53.349013,-6.260311
19,Starbucks,10-12 Westmoreland St,334,53.349013,-6.260311
20,Muse Café,40 O'Connell St,44,53.349013,-6.260311
21,Barnie's Coffee,,41,53.349013,-6.260311
22,Cafe Crema,Middle Abbey St,74,53.349013,-6.260311
23,Art of coffee,G.P.O Arcade,81,53.349013,-6.260311
24,Insomnia,63-64 O'Connell St,92,53.349013,-6.260311
25,Starbucks,Ilac Shopping Centre,272,53.349013,-6.260311
26,Neighbourhood Coffee,,148,53.349013,-6.260311
27,Nbhd Coffee,55 Abbey Street Middle,199,53.349013,-6.260311
28,Nespresso,,200,53.349013,-6.260311
29,Londis / Indulge,O'Connell St,108,53.349013,-6.260311
30,Le Centre-Ville,,207,53.349013,-6.260311
31,LikeaCoffee,1-31 Bachelors Walk,211,53.349013,-6.260311
32,Bakers + Baristas,Moore Street,237,53.349013,-6.260311
33,Ann's Bakery - Moore Street,"Unit 77 ilac centre, Dublin, 00000",241,53.349013,-6.260311
34,H&T Coffee,23 Liffey Street Upper,245,53.349013,-6.260311
35,Central Brew Coffee,,254,53.349013,-6.260311
36,Café Sol,"Unit 51/53 Moore Mall, Ilac Centre",255,53.349013,-6.260311
37,Benoit's Chocolate Factory,,261,53.349013,-6.260311
38,Frank And Honest Gourmet Coffee Company,14-18 Aston Quay,271,53.349013,-6.260311
39,Insomnia,20 Liffey St,272,53.349013,-6.260311
40,Brother Hubbard,Arnotts,276,53.349013,-6.260311
41,Copper + Straw,Aston Quay,279,53.349013,-6.260311
42,Loops & Coffee,,289,53.349013,-6.260311
43,Hür Kıraathane,,292,53.349013,-6.260311
44,the wooden wish,,294,53.349013,-6.260311
45,Julius Meinl,,300,53.349013,-6.260311
46,Maui Wowi,,302,53.349013,-6.260311
47,Insomnia,,309,53.349013,-6.260311
48,West Coast Coffee,D'Olier St,309,53.349013,-6.260311
49,Ninth Degree Coffee Roasters,28 Westmoreland Street,310,53.349013,-6.260311
50,Gas Café,,330,53.349013,-6.260311
51,Frank and Honest Gourmet Coffee,"Centra, Parnell St",333,53.349013,-6.260311
52,Coffeeangel,27 Pembroke Street Lower,106,53.336074,-6.252825
53,Caffè Nero,5 Merrion Row,277,53.336074,-6.252825
54,Starbucks,62 Lower Leeson St,302,53.336074,-6.252825
55,Cafe Boulevard,Lower Baggot St,183,53.336074,-6.252825
56,Munchies,146A Lwr Baggot St,235,53.336074,-6.252825
57,Olive Green Espresso Bar,Lwr Baggot St,323,53.336074,-6.252825
58,KC Peaches,Merrion Row,334,53.336074,-6.252825
59,Café Sol,33 Hatch St Lwr,274,53.336074,-6.252825
60,Bear Market Coffee,1A Pembroke Street Lower,132,53.336074,-6.252825
61,Doppio Zero,Pembroke Street Lower,177,53.336074,-6.252825
62,Insomnia,1a Lwr Pembroke St,177,53.336074,-6.252825
63,Coffeeangel,19 Merrion Row,236,53.336074,-6.252825
64,West Coast Coffee,Lwr Baggot St,256,53.336074,-6.252825
65,Mister Magpie,,290,53.336074,-6.252825
66,Brew Town,,300,53.336074,-6.252825
67,LinkedIn Barista,,313,53.336074,-6.252825
68,Insomnia,1a Earlsfort Terrace,321,53.336074,-6.252825
69,Blas Cafe,26 Kings Inn St,169,53.351182,-6.269859
70,Pulido's Coffee & Bakery,22 Moore St,23,53.351182,-6.269859
71,The Coffee Bean,64 Mary St,302,53.351182,-6.269859
72,The Grumpy Mule,,99,53.351182,-6.269859
73,Esquires Coffee,61 Mary St.,303,53.351182,-6.269859
74,Arran St East,1 Little Green St,320,53.351182,-6.269859
75,Mocha Beans,,329,53.351182,-6.269859
76,Urbanity,"The Glass House, 11 Coke Ln",110,53.347692,-6.278214
77,Proper Order Coffee Co.,New Church Street,96,53.347692,-6.278214
78,Cinnamon Café,Smithfield Market,78,53.347692,-6.278214
79,Costa Coffee,Arran Quay,78,53.347692,-6.278214
80,Starbucks,18-21 Saint-Stephen's Green,32,53.347692,-6.278214
81,Proper Cup Coffee Co,,33,53.347692,-6.278214
82,Lavazza,,78,53.347692,-6.278214
